a-hydrocort	A-HYDROCORT
acetic acid w/ hydrocortisone	ACETIC ACID W/ HYDROCORTISONE
acetic acid, glacial	ACETIC ACID, GLACIAL
acetohexamide	ACETOHEXAMIDE
acetylcysteine	ACETYLCYSTEINE
acetyldigitoxin	ACETYLDIGITOXIN
aciphex	ACIPHEX
aciphex sprinkle	ACIPHEX SPRINKLE
acitretin	ACITRETIN
aclidinium bromide	ACLIDINIUM BROMIDE
acoltremon	ACOLTREMON
actemra	ACTEMRA
acthar gel	ACTHAR GEL
acthar gel (autoinjector)	ACTHAR GEL (AUTOINJECTOR)
acthrel	ACTHREL
acticlate	ACTICLATE
acticort	ACTICORT
actidil	ACTIDIL
actigall	ACTIGALL
actin-n	ACTIN-N
actiq	ACTIQ
activella	ACTIVELLA
actoplus met xr	ACTOPLUS MET XR
actron	ACTRON
acular preservative free	ACULAR PRESERVATIVE FREE
acutect	ACUTECT
acuvail	ACUVAIL
acyclovir	ACYCLOVIR
acyclovir sodium	ACYCLOVIR SODIUM
acylanid	ACYLANID
aczone	ACZONE
adagen	ADAGEN
adalat cc	ADALAT CC
adalimumab	ADALIMUMAB
adalimumab-adbm	ADALIMUMAB-ADBM
adalimumab-afzb	ADALIMUMAB-AFZB
adalimumab-bwwd	ADALIMUMAB-BWWD
adapalene	ADAPALENE
adapalene and benzoyl peroxide	ADAPALENE AND BENZOYL PEROXIDE
adcirca	ADCIRCA
adderall 10	ADDERALL 10
adderall 12.5	ADDERALL 12.5
adderall 15	ADDERALL 15
adderall 20	ADDERALL 20
adderall 30	ADDERALL 30
adderall 5	ADDERALL 5
adderall 7.5	ADDERALL 7.5
adderall xr 10	ADDERALL XR 10
adderall xr 15	ADDERALL XR 15
adderall xr 20	ADDERALL XR 20
adderall xr 25	ADDERALL XR 25
adderall xr 30	ADDERALL XR 30
adderall xr 5	ADDERALL XR 5
adenosine	ADENOSINE
adhansia xr	ADHANSIA XR
adipex-p	ADIPEX-P
ado-trastuzumab emtansine	ADO-TRASTUZUMAB EMTANSINE
adrucil	ADRUCIL
advair hfa	ADVAIR HFA
advil	ADVIL
advil dual action with acetaminophen	ADVIL DUAL ACTION WITH ACETAMINOPHEN
aerolate iii	AEROLATE III
aerolate jr	AEROLATE JR
aerolate sr	AEROLATE SR
aerospan hfa	AEROSPAN HFA
afatinib	AFATINIB
afeditab cr	AFEDITAB CR
afinitor	AFINITOR
afinitor disperz	AFINITOR DISPERZ
aflibercept	AFLIBERCEPT
agalsidase beta	AGALSIDASE BETA
agamree	AGAMREE
agenerase	AGENERASE
aggrastat	AGGRASTAT
aggrenox	AGGRENOX
aimovig	AIMOVIG
ajovy	AJOVY
ak-pentolate	AK-PENTOLATE
akbeta	AKBETA
akineton	AKINETON
akovaz	AKOVAZ
akpentolate	AKPENTOLATE
aktipak	AKTIPAK
aktob	AKTOB
alaway	ALAWAY
albamycin	ALBAMYCIN
albendazole	ALBENDAZOLE
albiglutide	ALBIGLUTIDE
albuterol	ALBUTEROL
albuterol sulfate	ALBUTEROL SULFATE
albuterol sulfate and ipratropium bromide	ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE
albuterol sulfate; ipratropium bromide	ALBUTEROL SULFATE; IPRATROPIUM BROMIDE
alcaftadine	ALCAFTADINE
alclometasone dipropionate	ALCLOMETASONE DIPROPIONATE
aldactone	ALDACTONE
aldurazyme	ALDURAZYME
alendronate sodium	ALENDRONATE SODIUM
alfuzosin hydrochloride	ALFUZOSIN HYDROCHLORIDE
alglucosidase alfa	ALGLUCOSIDASE ALFA
alhemo	ALHEMO
alimta	ALIMTA
alirocumab	ALIROCUMAB
aliskiren hemifumarate	ALISKIREN HEMIFUMARATE
alitretinoin	ALITRETINOIN
alkindi sprinkle	ALKINDI SPRINKLE
allegra	ALLEGRA
allerfed	ALLERFED
allopurinol	ALLOPURINOL
allopurinol sodium	ALLOPURINOL SODIUM
almotriptan malate	ALMOTRIPTAN MALATE
alocril	ALOCRIL
alogliptin	ALOGLIPTIN
alogliptin benzoate	ALOGLIPTIN BENZOATE
alomide	ALOMIDE
alora	ALORA
alpha-tocopherol acetate	ALPHA-TOCOPHEROL ACETATE
alphagan	ALPHAGAN
alphagan p	ALPHAGAN P
alphatrex	ALPHATREX
alphazine	ALPHAZINE
alprazolam	ALPRAZOLAM
alprostadil	ALPROSTADIL
alsuma	ALSUMA
altabax	ALTABAX
altace	ALTACE
altafluor benox	ALTAFLUOR BENOX
altoprev	ALTOPREV
altreno	ALTRENO
aluminum acetate	ALUMINUM ACETATE
aluminum hydroxide	ALUMINUM HYDROXIDE
alupent	ALUPENT
alvesco	ALVESCO
alvimopan	ALVIMOPAN
alyftrek	ALYFTREK
alyq	ALYQ
amantadine hydrochloride	AMANTADINE HYDROCHLORIDE
amaryl	AMARYL
ambenyl	AMBENYL
ambodryl	AMBODRYL
ambrisentan	AMBRISENTAN
amcinonide	AMCINONIDE
amidate	AMIDATE
amifampridine	AMIFAMPRIDINE
amifostine	AMIFOSTINE
amikacin sulfate	AMIKACIN SULFATE
amikin	AMIKIN
amiloride hydrochloride	AMILORIDE HYDROCHLORIDE
amiloride hydrochloride and hydrochlorothiazide	AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE
aminess 5.2% essential amino acids w/ histadine	AMINESS 5.2% ESSENTIAL AMINO ACIDS W/ HISTADINE
amino acids	AMINO ACIDS
aminoacetic acid 1.5% in plastic container	AMINOACETIC ACID 1.5% IN PLASTIC CONTAINER
aminocaproic acid	AMINOCAPROIC ACID
aminolevulinic acid hydrochloride	AMINOLEVULINIC ACID HYDROCHLORIDE
aminophyllin	AMINOPHYLLIN
aminophylline	AMINOPHYLLINE
aminosalicylate sodium	AMINOSALICYLATE SODIUM
aminosalicylic acid resin complex	AMINOSALICYLIC ACID RESIN COMPLEX
aminosyn 3.5% w/ dextrose 5% in plastic container	AMINOSYN 3.5% W/ DEXTROSE 5% IN PLASTIC CONTAINER
aminosyn ii 15% in plastic container	AMINOSYN II 15% IN PLASTIC CONTAINER
aminosyn ii 3.5% in dextrose 25% in plastic container	AMINOSYN II 3.5% IN DEXTROSE 25% IN PLASTIC CONTAINER
aminosyn ii 3.5% in dextrose 5% in plastic container	AMINOSYN II 3.5% IN DEXTROSE 5% IN PLASTIC CONTAINER
aminosyn ii 3.5% in plastic container	AMINOSYN II 3.5% IN PLASTIC CONTAINER
aminosyn ii 3.5% m in dextrose 5% in plastic container	AMINOSYN II 3.5% M IN DEXTROSE 5% IN PLASTIC CONTAINER
aminosyn ii 3.5% m in plastic container	AMINOSYN II 3.5% M IN PLASTIC CONTAINER
aminosyn ii 3.5% w/ electrolytes in dextrose 25% w/ calcium in plastic container	AMINOSYN II 3.5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER
aminosyn ii 4.25% in dextrose 10% in plastic container	AMINOSYN II 4.25% IN DEXTROSE 10% IN PLASTIC CONTAINER
aminosyn ii 4.25% in dextrose 20% in plastic container	AMINOSYN II 4.25% IN DEXTROSE 20% IN PLASTIC CONTAINER
aminosyn ii 4.25% in dextrose 25% in plastic container	AMINOSYN II 4.25% IN DEXTROSE 25% IN PLASTIC CONTAINER
aminosyn ii 4.25% m in dextrose 10% in plastic container	AMINOSYN II 4.25% M IN DEXTROSE 10% IN PLASTIC CONTAINER
aminosyn ii 4.25% w/ elect and adjusted phosphate in dextrose 10% in plastic container	AMINOSYN II 4.25% W/ ELECT AND ADJUSTED PHOSPHATE IN DEXTROSE 10% IN PLASTIC CONTAINER
aminosyn ii 4.25% w/ electrolytes in dextrose 20% w/ calcium in plastic container	AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER
aminosyn ii 4.25% w/ electrolytes in dextrose 25% w/ calcium in plastic container	AMINOSYN II 4.25% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER
aminosyn ii 5% in dextrose 25% in plastic container	AMINOSYN II 5% IN DEXTROSE 25% IN PLASTIC CONTAINER
aminosyn ii 5% w/ electrolytes in dextrose 25% w/ calcium in plastic container	AMINOSYN II 5% W/ ELECTROLYTES IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER
aminosyn-hbc 7% in plastic container	AMINOSYN-HBC 7% IN PLASTIC CONTAINER
aminosyn-hf 8%	AMINOSYN-HF 8%
amiodarone hydrochloride	AMIODARONE HYDROCHLORIDE
amipaque	AMIPAQUE
amitid	AMITID
amitril	AMITRIL
amitriptyline hydrochloride	AMITRIPTYLINE HYDROCHLORIDE
amivantamab and hyaluronidase-lpuj	AMIVANTAMAB AND HYALURONIDASE-LPUJ
amlodipine and olmesartan medoxomil	AMLODIPINE AND OLMESARTAN MEDOXOMIL
amlodipine benzoate	AMLODIPINE BENZOATE
amlodipine besylate	AMLODIPINE BESYLATE
amlodipine besylate and atorvastatin calcium	AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM
amlodipine besylate and benazepril hydrochloride	AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE
amlodipine besylate and valsartan	AMLODIPINE BESYLATE AND VALSARTAN
amlodipine besylate, valsartan and hydrochlorothiazide	AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE
ammonia n 13	AMMONIA N 13
ammonia n-13	AMMONIA N-13
ammonium chloride	AMMONIUM CHLORIDE
